Conocimiento programas,Dic 2022,Mar 2023,Jun 2023,Diferencia % con trimestre anterior
Sí,"33.2% (466,239)","44.3% (622,429)","37.5% (515,238)",-6.8 pp
Ns/Nc,"2.0% (28,599)","4.1% (57,730)","2.9% (39,353)",-1.2 pp
No,"64.7% (908,635)","51.6% (725,460)","59.6% (819,579)",8 pp
